[04-Jul-2017 10:52:08 Asia/Shanghai] PHP Parse error:  syntax error, unexpected ''数据插入成功'' (T_CONSTANT_ENCAPSED_STRING) in /var/www/html/test/zhanghao/userrights/index.php on line 13
[04-Jul-2017 13:22:53 Asia/Shanghai] PHP Fatal error:  Declaration of Zhanghao\Practice\MongoCurd::del() must be compatible with Zhanghao\Practice\MyCurd::del($account) in /var/www/html/test/zhanghao/users/MongoCurd.php on line 6
[04-Jul-2017 13:23:30 Asia/Shanghai] PHP Fatal error:  Class 'Zhanghao\Practice\Zhanghao\Practice\CurdFactory' not found in /var/www/html/test/zhanghao/users/testmongo.php on line 5
[04-Jul-2017 13:24:10 Asia/Shanghai] PHP Catchable fatal error:  Object of class Zhanghao\Practice\MongoCurd could not be converted to string in /var/www/html/test/zhanghao/users/MongoCurd.php on line 17
[04-Jul-2017 13:25:19 Asia/Shanghai] PHP Warning:  Missing argument 1 for Zhanghao\Practice\MongoCurd::getInfo(), called in /var/www/html/test/zhanghao/users/testmongo.php on line 15 and defined in /var/www/html/test/zhanghao/users/MongoCurd.php on line 25
[04-Jul-2017 13:25:19 Asia/Shanghai] PHP Notice:  Undefined variable: _oprea in /var/www/html/test/zhanghao/users/MongoCurd.php on line 27
[04-Jul-2017 13:25:19 Asia/Shanghai] PHP Fatal error:  Call to a member function find() on null in /var/www/html/test/zhanghao/users/MongoCurd.php on line 27
[04-Jul-2017 13:25:58 Asia/Shanghai] PHP Notice:  Undefined variable: _mongo in /var/www/html/test/zhanghao/users/MongoCurd.php on line 14
[04-Jul-2017 13:25:58 Asia/Shanghai] PHP Notice:  Trying to get property of non-object in /var/www/html/test/zhanghao/users/MongoCurd.php on line 14
[04-Jul-2017 13:25:58 Asia/Shanghai] PHP Notice:  Undefined variable: _db in /var/www/html/test/zhanghao/users/MongoCurd.php on line 15
[04-Jul-2017 13:25:58 Asia/Shanghai] PHP Notice:  Trying to get property of non-object in /var/www/html/test/zhanghao/users/MongoCurd.php on line 15
[04-Jul-2017 13:25:58 Asia/Shanghai] PHP Warning:  Missing argument 1 for Zhanghao\Practice\MongoCurd::getInfo(), called in /var/www/html/test/zhanghao/users/testmongo.php on line 15 and defined in /var/www/html/test/zhanghao/users/MongoCurd.php on line 23
[04-Jul-2017 13:25:58 Asia/Shanghai] PHP Notice:  Undefined property: Zhanghao\Practice\MongoCurd::$_oprea in /var/www/html/test/zhanghao/users/MongoCurd.php on line 25
[04-Jul-2017 13:25:58 Asia/Shanghai] PHP Fatal error:  Call to a member function find() on null in /var/www/html/test/zhanghao/users/MongoCurd.php on line 25
[04-Jul-2017 13:26:36 Asia/Shanghai] PHP Warning:  Missing argument 1 for Zhanghao\Practice\MongoCurd::getInfo(), called in /var/www/html/test/zhanghao/users/testmongo.php on line 15 and defined in /var/www/html/test/zhanghao/users/MongoCurd.php on line 23
[04-Jul-2017 13:26:36 Asia/Shanghai] PHP Notice:  Undefined property: Zhanghao\Practice\MongoCurd::$_oprea in /var/www/html/test/zhanghao/users/MongoCurd.php on line 25
[04-Jul-2017 13:26:36 Asia/Shanghai] PHP Fatal error:  Call to a member function find() on null in /var/www/html/test/zhanghao/users/MongoCurd.php on line 25
[04-Jul-2017 13:26:45 Asia/Shanghai] PHP Warning:  Missing argument 1 for Zhanghao\Practice\MongoCurd::getInfo(), called in /var/www/html/test/zhanghao/users/testmongo.php on line 15 and defined in /var/www/html/test/zhanghao/users/MongoCurd.php on line 23
[04-Jul-2017 13:26:45 Asia/Shanghai] PHP Notice:  Undefined property: Zhanghao\Practice\MongoCurd::$_oprea in /var/www/html/test/zhanghao/users/MongoCurd.php on line 25
[04-Jul-2017 13:26:45 Asia/Shanghai] PHP Fatal error:  Call to a member function find() on null in /var/www/html/test/zhanghao/users/MongoCurd.php on line 25
[04-Jul-2017 13:27:01 Asia/Shanghai] PHP Notice:  Undefined property: Zhanghao\Practice\MongoCurd::$_oprea in /var/www/html/test/zhanghao/users/MongoCurd.php on line 25
[04-Jul-2017 13:27:01 Asia/Shanghai] PHP Fatal error:  Call to a member function find() on null in /var/www/html/test/zhanghao/users/MongoCurd.php on line 25
[04-Jul-2017 13:30:06 Asia/Shanghai] PHP Notice:  Undefined property: Zhanghao\Practice\MongoCurd::$_oprea in /var/www/html/test/zhanghao/users/MongoCurd.php on line 23
[04-Jul-2017 13:30:06 Asia/Shanghai] PHP Fatal error:  Call to a member function find() on null in /var/www/html/test/zhanghao/users/MongoCurd.php on line 23
[04-Jul-2017 13:32:05 Asia/Shanghai] PHP Catchable fatal error:  Object of class Zhanghao\Practice\MongoCurd could not be converted to string in /var/www/html/test/zhanghao/users/MongoCurd.php on line 24
